"dataset","moment","sample_size","Cross-Site CW","Site-Specific CW","Parametric BS","Nonparametric BS"
"Arizona Rodents","mean",9,38.6241382528841,46.212322267552,45.3850735216247,45.3718931625341
"Arizona Rodents","variance",9,13.7215377741412,13.5808937363641,5.39058223753307,5.2494374964726
"Arizona Rodents","skewness",9,599.780953986146,224.391129925828,141.51732780677,132.151980982785
"Arizona Rodents","kurtosis",9,72.2334669658646,56.8903779523804,48.314380347514,37.1113271563089
"Colorado Herbs","mean",9,43.2981572020797,37.9740702428488,37.9324557638896,37.9664561213049
"Colorado Herbs","variance",9,55.8851370315593,55.0487494545376,14.2516621765301,14.1858580191366
"Colorado Herbs","skewness",9,572.351760973145,576.663568083866,135.705798940058,133.217616106388
"Colorado Herbs","kurtosis",9,993.411088700976,964.11519434364,239.076152456829,135.741217024256
"Panama Trees","mean",9,93.3131015534461,22.8912393427516,22.8485029906671,22.7489453177791
"Panama Trees","variance",9,31.7403855808724,25.1515030954858,8.44007644640996,8.45206414939408
"Panama Trees","skewness",9,456.268635263195,339.028210065061,124.137317786442,117.649924757633
"Panama Trees","kurtosis",9,535.50805884285,388.744680606198,168.757277705798,150.104882225599
"Switzerland Plankton","mean",9,78.0766091867092,30.9750733292261,30.9479716417025,30.8415523994688
"Switzerland Plankton","variance",9,30.6494695548954,27.0411806616614,8.04074598446682,7.9703763777734
"Switzerland Plankton","skewness",9,52.5552450112979,49.5757949078637,17.1203598635371,16.8996311644836
"Switzerland Plankton","kurtosis",9,186.81335385261,182.667804730668,160.791917741912,71.4394905709984
"Texas Tadpoles","mean",9,31696681609791204,31868224421279552,32240983379224452,31790034004418836
"Texas Tadpoles","variance",9,60.9278180771693,60.9469765900324,7.76031969937353,7.58142466048434
"Texas Tadpoles","skewness",9,186.521379442486,184.574609198691,52.0924722159474,54.7887084017813
"Texas Tadpoles","kurtosis",9,100.703294905896,97.8465045501174,124.575917180477,36.3548930182864
